=== T31 ===
[canon] T  [volumes] 1: ['T31']...

[volume] T31
  [files] 43
  [ok] cbeta-T40n1813: 6 juans, 287576 bytes
  [ok] cbeta-T40n1814: 3 juans, 175382 bytes
  [ok] cbeta-T40n1815: 3 juans, 153570 bytes
  [ok] cbeta-T40n1816: 3 juans, 310565 bytes
  [ok] cbeta-T40n1817: 1 juans, 6257 bytes
  [ok] cbeta-T40n1818: 3 juans, 199281 bytes
  [ok] cbeta-T40n1819: 2 juans, 85016 bytes
  [ok] cbeta-T40n1820: 1 juans, 63645 bytes

[summary] {"ok": 17}
=== T41 ===
[canon] T  [volumes] 1: ['T41']...

[volume] T41
  [files] 3
  [ok] cbeta-T41n1821: 31 juans, 2184439 bytes
  [ok] cbeta-T41n1822: 31 juans, 1727171 bytes
  [ok] cbeta-T41n1823: 30 juans, 815204 bytes

[summary] {"ok": 3}
=== T42 ===
[canon] T  [volumes] 1: ['T42']...

[volume] T42
  [files] 5
  [ok] cbeta-T42n1824: 20 juans, 868588 bytes
  [ok] cbeta-T42n1825: 6 juans, 211688 bytes
  [ok] cbeta-T42n1826: 2 juans, 98968 bytes
  [ok] cbeta-T42n1827: 9 juans, 408500 bytes
  [ok] cbeta-T42n1828: 48 juans, 2820055 bytes

[summary] {"ok": 5}
=== T43 ===
[canon] T  [volumes] 1: ['T43']...

[volume] T43
  [files] 6
  [ok] cbeta-T43n1829: 16 juans, 1158345 bytes
  [ok] cbeta-T43n1830: 20 juans, 1777954 bytes
  [ok] cbeta-T43n1831: 4 juans, 250833 bytes
  [ok] cbeta-T43n1832: 13 juans, 748158 bytes
  [ok] cbeta-T43n1833: 14 juans, 802388 bytes
  [ok] cbeta-T43n1834: 2 juans, 156756 bytes

[summary] {"ok": 6}
=== T44 ===
[canon] T  [volumes] 1: ['T44']...

[volume] T44
  [files] 17
  [ok] cbeta-T44n1835: 3 juans, 203727 bytes
  [ok] cbeta-T44n1836: 2 juans, 34330 bytes
  [ok] cbeta-T44n1837: 2 juans, 43790 bytes
  [ok] cbeta-T44n1838: 1 juans, 78721 bytes
  [ok] cbeta-T44n1839: 1 juans, 68772 bytes
  [ok] cbeta-T44n1840: 3 juans, 258294 bytes
  [ok] cbeta-T44n1841: 1 juans, 76780 bytes
  [ok] cbeta-T44n1842: 1 juans, 80306 bytes
  [ok] cbeta-T44n1843: 4 juans, 133411 bytes
  [ok] cbeta-T44n1844: 2 juans, 122019 bytes
  [ok] cbeta-T44n1845: 2 juans, 71414 bytes
  [ok] cbeta-T44n1846: 5 juans, 211630 bytes
  [ok] cbeta-T44n1847: 1 juans, 42957 bytes
  [ok] cbeta-T44n1848: 20 juans, 543783 bytes
  [ok] cbeta-T44n1849: 1 juans, 65592 bytes
  [ok] cbeta-T44n1850: 6 juans, 202309 bytes
  [ok] cbeta-T44n1851: 26 juans, 2049049 bytes

[summary] {"ok": 17}
=== T45 ===
[canon] T  [volumes] 1: ['T45']...

[volume] T45
  [files] 61
  [ok] cbeta-T45n1852: 1 juans, 66978 bytes
  [ok] cbeta-T45n1853: 5 juans, 317261 bytes
  [ok] cbeta-T45n1854: 3 juans, 192427 bytes
  [ok] cbeta-T45n1855: 1 juans, 31613 bytes
  [ok] cbeta-T45n1856: 3 juans, 105443 bytes
  [ok] cbeta-T45n1857: 1 juans, 34270 bytes
  [ok] cbeta-T45n1858: 1 juans, 57921 bytes
  [ok] cbeta-T45n1859: 3 juans, 197065 bytes
  [ok] cbeta-T45n1860: 3 juans, 197098 bytes
